1150,kampala international u
1580,philippines pycon
865,pyconit 7
322,django girls poland
2000,pycon belarus
200,pyladies helsinki
750,django girls belfast
2000,pythonfosdem
3200,"djangocon, hungary"
762,"oscamp, romania"
274,django girls wroclaw
500,django girls mexico city
3255,pyconIT 7
8670,europython
750,pycode carrots koszalin
600,"toran billlups, iowa"
3086,pycon aus
850,? manuel kauffman
3500,djangogirls NYC
300,"palakkad, india"
1800,cuba conference
2250,? manuel kauffman
1250,"django girls, aus"
500,pydigest russia
2000,scipy brazil
750,django girls harare
800,djangogirls nigeria
5000,djangocon US
500,kenya
500,uganda
3125,"USC, USA"
600,"pycamp, argentina"
2500,"nashville, usa"
2000,scipy usa
750,django girls nigeria
2700,pycon sweden
1500,pycon israel
1800,pydata london
500,django girls akure
750,springfield public library
500,yale U
1500,evans high school robotics club
1800,pycon South Africa
750,django girls dublin
2500,kiwi pycon
2000,python cameroon
750,django girls bilboa
1000,django girls nigeria
230,pyladies banglore
6000,europython
800,lund uni
2000,pycon russia
700,django girls wood stock cape town south africa
500,django girls gdansk
290,django girls harare
1000,django girls san diego
500,django girls nigeria
300,"women, north carolina"
1535,malaysia
750,seoul django girls
2000,pyladies south california
300,mountain view
630,django girls seattle
1500,SCI nigeria
500,kumasi tech comm
300,django girls india
650,pycode carrots ostrava
750,django girls taipei
365,django girls pycon UK
2773,django netherlands
270,nepal
1700,kampala international u
6000,python brazil
10000,python APAC
3000,pycon france
3000,pybay
1111,froscon germany
1250,futa nigeria
5250,digital cotton egypt
5000,pygotham diversity
8500,pycon UK
500,django girls nigeria
600,django girls nigeria
4000,pyohio
1000,pyohio
1608,india
600,"banglore, india"
1000,django girls dominican republic
2000,pydata NC
500,django girls zimbabwe
665,pycon barcelona
825,pycode carrots koszalin
2300,pycon hong kong
3320,pycon spain
330,pycon italy
3500,py Tennessee
1000,py Tennessee
800,django girls banglore
750,django girls nigeria
3800,pycon namibia
1715,"SF, USA"
500,"UWash, USA"
550,Django Girls Honolulu
750,Django girls windheok
750,django girls rome
600,django girls cologne
1000,"django girls riverside, USA"
2000,pydata madrid
750,django girls barcelona
600,django girls germany
1000,django girls argentina
415,django girls uganda
800,django girls bratslava
2800,python brasil
2000,scipy india
2500,afro django
300,taiwan
900,pycode carrots poland
1500,pycon SK
300,high school
603,?soweta community hack
600,wroclove code carrots
3500,pycon argentina
1200,pyDX
300,"santa cruz, USA"
650,pyhawii
3000,pycon poland
3000,pycon spain
1750,django carrots france
2000,pycon czech republic
1000,python san sebastian
500,django girls novi sad
750,django girls uganda
750,django girls pyconES
567,django girls budapest
1500,pycon HK
2500,pytexas
450,pyladies
750,django girls aus
750,django girls krakow
1970,pyconZA
630,django girls seattle
1250,codesses nigeria
2000,django girls seoul
2750,pycon canada
2417,pycon japan
3500,pygotham
2500,kiwi pycon
4800,hyperion dev - prisoners and South Africa
2000,pycon AUS
2533,cameroon
2000,django girls austin
3000,pycon UK
2000,pycon UK
2000,pycon UK
1500,django girls pycon UK
675,django girls wroclaw
6760,europython
3000,djangocon US
700,pycon MY
4000,pyohio
1020,"baroda, india"
2500,young coders pyohio
1500,django girls europython
1000,django girls warsaw
754,pycon singapore
2000,django birthday conf
2500,pyWAW
2000,scipy
2000,"plone conf, bucharest"
650,django girls mbarara
1500,django girls paris
500,geek girl carrots warsaw
3000,scipy latin america
3400,pycon AUS
3500,djangocon europe
1800,django girls london
1200,django girls athens
1500,django girls NYC
550,leiden
2000,FOSSASIA
3000,outreach - south america
2980,hyperion south africa
1500,pycon belarus
1500,geek girl carrots wroclaw
2000,python fosdem
3500,linux.conf.au
200,django girls wroclaw
1000,geek girl carrots warsaw
2000,training up
2000,pydata NYC
491,pycon cameroon
600,django girls lodz
500,UNB saint john
1000,py namibia
1700,django girls kampala
2500,pytennessee
1500,plone conference
1000,pytennessee young coders
1250,plone conference
750,"geek girl carrots wroclaw, poland"
1000,django girls krakow
3000,python argentina
1000,django girls warsaw
1750,django girls edinburgh
1320,django under the hood
1500,pytexas
2914,pycon japan
2000,pycon ZA
2500,pycon kiwi
4000,pyconES
800,teen peru python camp
3000,pygotham NYC
2000,pydata berlin
2500,kiwipycon
2500,pyohio
2000,pyohio
3750,pyohio
4000,pycon italia
7000,pyconUK
